objectid,parentid,filename,title,creator,description,date,subject,location,latitude,longitude,format,type,image_thumb,image_small,object_location,source,identifier,language,rights,rightsstatement,collection
sns_1960_rocks_pr,,sns_1960_rocks_pr.pdf,"Program for On the Rocks, 1960",Scotch'n'Soda Theatre,,1960,Program,,,,application/pdf,Text,objects/thumbs/sns_1960_rocks_pr_th.jpg,objects/small/sns_1960_rocks_pr_sm.jpg,/objects/sns_1960_rocks_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1961_animation_pr,,sns_1961_animation_pr.pdf,"Program for Animation, 1961",Scotch'n'Soda Theatre,,1961,Program,,,,application/pdf,Text,objects/thumbs/sns_1961_animation_pr_th.jpg,objects/small/sns_1961_animation_pr_sm.jpg,/objects/sns_1961_animation_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1962_viv_pr,,sns_1962_viv_pr.pdf,"Program for Viv, 1962",Scotch'n'Soda Theatre,,1962,Program,,,,application/pdf,Text,objects/thumbs/sns_1962_viv_pr_th.jpg,objects/small/sns_1962_viv_pr_sm.jpg,/objects/sns_1962_viv_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1963_miss_pr,,sns_1963_miss_pr.pdf,"Program for Miss Stars & Stripes, 1963",Scotch'n'Soda Theatre,,1963,Program,,,,application/pdf,Text,objects/thumbs/sns_1963_miss_pr_th.jpg,objects/small/sns_1963_miss_pr_sm.jpg,/objects/sns_1963_miss_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1964_evnod_pr,,sns_1964_evnod_pr.pdf,"Program for Evnod, 1964",Scotch'n'Soda Theatre,,1964,Program,,,,application/pdf,Text,objects/thumbs/sns_1964_evnod_pr_th.jpg,objects/small/sns_1964_evnod_pr_sm.jpg,/objects/sns_1964_evnod_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1965_whatserface_pr,,sns_1965_whatserface_pr.pdf,"Program for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Program,,,,application/pdf,Image,objects/thumbs/sns_1965_whatserface_pr_th.jpg,objects/small/sns_1965_whatserface_pr_sm.jpg,/objects/sns_1965_whatserface_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1965_whatserface_rl,,sns_1965_whatserface_rl.pdf,"Record Lining for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Record Lining,,,,application/pdf,Image,objects/thumbs/sns_1965_whatserface_rl_th.jpg,objects/small/sns_1965_whatserface_rl_sm.jpg,/objects/sns_1965_whatserface_rl.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1965_whatserface_lp,,sns_1965_whatserface_lp.pdf,"Lighting Plot for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Lighting Plot,,,,application/pdf,Image,objects/thumbs/sns_1965_whatserface_lp_th.jpg,objects/small/sns_1965_whatserface_lp_sm.jpg,/objects/sns_1965_whatserface_lp.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1965_whatserface_po_0001,,sns_1965_whatserface_po_0001.pdf,"Poster for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Poster,,,,application/pdf,Image,objects/thumbs/sns_1965_whatserface_po_0001_th.jpg,objects/small/sns_1965_whatserface_po_0001_sm.jpg,/objects/sns_1965_whatserface_po_0001.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1965_whatserface_po_0002,,sns_1965_whatserface_po_0002.pdf,"Poster for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Poster,,,,application/pdf,Image,objects/thumbs/sns_1965_whatserface_po_0002_th.jpg,objects/small/sns_1965_whatserface_po_0002_sm.jpg,/objects/sns_1965_whatserface_po_0002.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1965_whatserface_po_0003,,sns_1965_whatserface_po_0003.pdf,"Poster for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Poster,,,,application/pdf,Image,objects/thumbs/sns_1965_whatserface_po_0003_th.jpg,objects/small/sns_1965_whatserface_po_0003_sm.jpg,/objects/sns_1965_whatserface_po_0003.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
